id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,covey,dist camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
2014-64,J,Male,AZ,0,0,0,1.2284,0.00009,4.4484,0,0.0057,1615,10,451.6,520,15.5375,1567,31.487968,-110.60384,0.000223004,1.437639721,Apacherian-Chihuahuan Mesquite Upland Scrub
2014-74,,Female,AZ,0,0,0,0,0,0,0,0,910,10,272.86,515,15.59583343,1559,31.479233,-110.594791,0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
2014-75,J,Male,AZ,0,0,0,0,0,0.027,0,0,910,10,272.86,515,15.59583343,1559,31.479233,-110.594791,0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
2014-76,J,Female,AZ,0,0,0.0231,0,0,0,0,0,910,10,272.86,515,15.59583343,1559,31.479233,-110.594791,0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
2014-85,A,Female,AZ,0,0,0,0.3115,0.02,4.0589,0,0.02,1615,10,451.6,520,15.5375,1567,31.487968,-110.60384,0.393457149,1.437639721,Apacherian-Chihuahuan Mesquite Upland Scrub
2014-86,A,Male,AZ,0,0,0,0,0,0,0,0,910,10,272.86,515,15.59583343,1559,31.479233,-110.594791,0,1.43420978,Apacherian-Chihuahuan Mesquite Upland Scrub
2015-15,J,Male,AZ,0,0,0,0.0552,0,0.0153,0,0,1045,12,97.65,506,15.71666638,1579,31.441023,-110.549115,1.076409266,1.514417963,Madrean Encinal
2015-16,J,Female,AZ,0,0,0,0,0,0.0347,0,0,915,7,50.52,503,15.72083351,1510,31.450843,-110.557762,0.523111954,1.479697054,Apacherian-Chihuahuan Mesquite Upland Scrub
2015-18,J,Female,AZ,0,0,0,0,0,0,0,0,1000,12,101.64,504,15.67500008,1546,31.443211,-110.547695,0.536452365,1.578949213,North American Warm Desert Wash
2016-101,J,Male,AZ,0,0,0,0.0695,0,1.0359,0.038,0.0076,930,NA,211.01,526,15.92083329,1578,31.351572,-110.489045,0.762395791,1.133977763,Madrean Encinal
2016-102,J,Male,AZ,0,0,0,0,0,0.1884,0,0,930,NA,211.01,526,15.92083329,1578,31.351572,-110.489045,0.099129977,1.133977763,Madrean Encinal
2016-103,J,Male,AZ,0,0,0,2.9338,0,0.6889,0.0342,0.008,1630,NA,171.92,527,15.56250009,1616,31.391325,-110.464206,0.86535793,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-104,J,Female,AZ,0,0,0,1.0707,0.0085,0.6081,0.2536,0,1630,NA,171.92,527,15.56250009,1616,31.391325,-110.464206,1.578036898,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-105,J,Female,AZ,0,0,0,1.9805,0,0,0.4402,0,1630,NA,171.92,527,15.56250009,1616,31.391325,-110.464206,1.169040784,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
2016-106,J,Female,AZ,0,0,0,1.8584,0,0.3721,0,0.0076,1630,NA,171.92,527,15.56250009,1616,31.391325,-110.464206,0.700815882,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
