,id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,dist_camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
137,2016-119,J,Male,AZ,0.0,0.0,0.0,1.367,0.0,0.0095,0.0117,0.0568,12:45,111.82,520,15.5375,1558.0,31.484718,-110.602862,0.466686194,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
138,2016-120,J,Male,AZ,0.0,0.0,0.0,2.994,0.0,0.1699,0.0,0.0582,12:45,111.82,520,15.5375,1558.0,31.484718,-110.602862,0.390418422,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
139,2016-127,J,Male,AZ,0.0,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,09:30,247.41,526,15.92083329,1578.0,31.3511,-110.484337,0.696356931,1.198105477,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
140,2016-128,J,Female,AZ,0.0,0.0,0.0,0.0,0.0,0.5811,0.0401,0.0,10:00,199.39,521,16.03749978,1528.0,31.347878,-110.484526,0.239314288,1.275254273,Madrean Encinal
141,2016-129,J,Male,AZ,0.0,0.0,0.0,0.0365,0.0,1.2049,0.0279,0.0277,11:45,111.6,521,16.03749978,1528.0,31.34385,-110.486741,0.482014575,1.297985692,Madrean Encinal
142,2016-130,J,Male,AZ,0.0,0.0,0.0,0.1133,0.0,0.1037,0.086,0.2098,12:45,251.24,521,16.03749978,1528.0,31.345481,-110.487064,1.459657235,1.319997452,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
143,2016-136,J,Male,AZ,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0407,11:00,207.95,476,17.31250004,1207.0,31.367431,-110.996582,0.83406536,0.949227213,Madrean Encinal
144,2016-137,J,Male,AZ,0.0,0.0,0.0534,0.0,0.0,0.0,0.0,0.0,10:30,109.61,476,17.31250004,1207.0,31.369391,-110.995969,0.0,0.949769167,Madrean Encinal
145,2016-139,A,Male,AZ,0.0,0.0,0.0,0.0,0.0,1.2528,0.0,0.0,13:00,198.58,545,15.07500002,1587.0,31.422592,-110.650605,0.0,1.126085082,Madrean Encinal
146,2016-140,J,Male,AZ,0.0,0.0,0.0,0.0631,0.0,1.6855,0.4053,0.0,14:00,187.92,537,15.20833329,1561.0,31.425362,-110.643223,1.087978804,1.023583665,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
